strategy_name,Accuracy mean,ROC AUC mean,fit runtime mean,predict runtime mean,Accuracy efficency,ROC AUC efficency
ST_KWS_K10_w20_max,75.191,79.92,30.041,16.53,13.457,6.392
ST_SG_nw200_w10,76.292,80.363,17.347,16.706,28.205,11.952
