Epochs,Training Time,Testing Time,Accuracy,Balanced Accuracy,AUROC_ovr,AUROC_ovo,Data Fraction
50,0.0010004043579101562,0.0060040950775146484,0.5116279069767442,0.4796380090497738,0.7011814982403216,0.7012704490080056,0.1
50,0.0010001659393310547,0.0060024261474609375,0.5116279069767442,0.4796380090497738,0.7036953242835594,0.7010384035270913,0.11
50,0.0020012855529785156,0.00600123405456543,0.5116279069767442,0.4796380090497738,0.6481146304675716,0.642359902540898,0.12
50,0.0010001659393310547,0.005002021789550781,0.5116279069767442,0.4796380090497738,0.6772247360482654,0.6751943380902657,0.13
50,0.0010001659393310547,0.005001544952392578,0.5348837209302325,0.5052790346907994,0.68298139768728,0.6770216962524654,0.14
50,0.0010006427764892578,0.005002021789550781,0.5116279069767442,0.4796380090497738,0.6700603318250377,0.6611845921800673,0.15
50,0.0009996891021728516,0.0060024261474609375,0.5348837209302325,0.5052790346907994,0.7354198089492208,0.7276656224620025,0.16
50,0.0010004043579101562,0.005002021789550781,0.5348837209302325,0.5113122171945701,0.6996480643539466,0.6921336581970067,0.17
50,0.0010001659393310547,0.00500178337097168,0.5348837209302325,0.5052790346907994,0.7245600804424334,0.7136848822369185,0.18
50,0.0010001659393310547,0.005002737045288086,0.5116279069767442,0.4796380090497738,0.7066867772750126,0.6971806474068917,0.19
50,0.002000570297241211,0.006001472473144531,0.5581395348837209,0.530920060331825,0.7533685268979387,0.7438507947557721,0.2
50,0.0009999275207519531,0.005001544952392578,0.5116279069767442,0.47963800904977366,0.7353192559074913,0.7256932358742314,0.21
50,0.0010008811950683594,0.006000995635986328,0.5348837209302325,0.5052790346907994,0.7534188034188034,0.7426905673512009,0.22
50,0.0009999275207519531,0.006001949310302734,0.5813953488372093,0.5565610859728506,0.7371040723981901,0.7308852535096878,0.23
50,0.0009999275207519531,0.005002498626708984,0.6046511627906976,0.5822021116138764,0.7492207139265963,0.744343891402715,0.24
50,0.0010001659393310547,0.006002664566040039,0.5116279069767442,0.4796380090497738,0.736299648064354,0.7243299686738601,0.25
50,0.0010001659393310547,0.008002281188964844,0.5116279069767442,0.4796380090497738,0.736299648064354,0.7243299686738601,0.26
50,0.002000570297241211,0.009002447128295898,0.5581395348837209,0.5369532428355958,0.7164655605832077,0.7085218702865762,0.27
50,0.0010001659393310547,0.00900411605834961,0.5813953488372093,0.5625942684766215,0.7044997486173957,0.695759368836292,0.28
50,0.00099945068359375,0.007002830505371094,0.5348837209302325,0.5113122171945701,0.6895424836601308,0.6790810998955795,0.29
50,0.0010001659393310547,0.00800323486328125,0.4883720930232558,0.4720965309200604,0.6782805429864253,0.6674788258498666,0.3
50,0.0010001659393310547,0.01000356674194336,0.5116279069767442,0.4796380090497738,0.7327551533433887,0.7249970994314886,0.31
50,0.002000570297241211,0.008002281188964844,0.4883720930232558,0.47209653092006026,0.6811714429361487,0.6729609003364659,0.32
50,0.0010013580322265625,0.008002281188964844,0.5116279069767442,0.4796380090497738,0.7306184012066366,0.7232277526395173,0.33
50,0.0010001659393310547,0.010003089904785156,0.5348837209302325,0.5173453996983408,0.6995726495726494,0.6919886297714353,0.34
50,0.0009999275207519531,0.009003162384033203,0.5348837209302325,0.5173453996983408,0.7072649572649571,0.7004002784545772,0.35
50,0.0010001659393310547,0.010002851486206055,0.5116279069767442,0.49170437405731526,0.6900955253896429,0.6827358162199791,0.36
50,0.0009999275207519531,0.009002208709716797,0.5581395348837209,0.530920060331825,0.7789341377576671,0.773813667478826,0.37
50,0.0010004043579101562,0.009003639221191406,0.5348837209302325,0.5173453996983408,0.7003016591251886,0.6935259310824922,0.38
50,0.0010004043579101562,0.008002042770385742,0.5348837209302325,0.5173453996983408,0.7162393162393162,0.7087829214526047,0.39
50,0.002000570297241211,0.009002447128295898,0.5813953488372093,0.574660633484163,0.7379587732528909,0.7340758788722589,0.4
50,0.0010004043579101562,0.009002685546875,0.6046511627906976,0.5942684766214179,0.7706385118149823,0.7678965077155122,0.41
50,0.0009999275207519531,0.009002208709716797,0.5813953488372093,0.5806938159879337,0.7608597285067873,0.7585856827938277,0.42
50,0.0020008087158203125,0.009001731872558594,0.6046511627906976,0.5942684766214179,0.7743338360985419,0.7712901728738834,0.43
50,0.0010001659393310547,0.009003400802612305,0.5813953488372093,0.5806938159879337,0.7595274007038713,0.7555400858568279,0.44
