strategy_name,Accuracy mean,ROC AUC mean,fit runtime mean,predict runtime mean,Accuracy efficency,ROC AUC efficency
ST_KWS_K5_w20_mean,72.875,84.186,9.56,1.768,28.306,42.067
ST_KWS_K5_w20_max,73.197,84.738,9.519,1.782,30.062,46.49
ST_KWS_RSFS_K10_w20_max,73.992,85.615,9.679,3.14,33.931,53.229
ST_KWS_K10_w20_mean,73.863,85.731,9.627,3.184,33.36,54.605
ST_KWS_K10_w30_max,74.547,85.9,14.059,3.17,25.72,38.5
ST_KWS_K10_w20_max,74.092,85.928,9.547,3.179,35.002,56.967
ST_KWS_RSFS_K10_w20_max_Declined,74.503,86.532,9.274,3.089,38.692,65.119
ST_KWS_K20_w30_max_Declined,76.455,87.258,13.458,5.701,37.396,50.893
ST_KWS_K10_w20_max_Declined,75.996,87.605,9.792,3.069,47.465,74.273
