strategy_name,Accuracy mean,ROC AUC mean,fit runtime mean,predict runtime mean,Accuracy efficency,ROC AUC efficency
ST_KWS_K10_w20_max,77.061,84.654,15.264,9.062,36.618,28.574
ST_SG_nw200_w10,77.916,85.46,7.686,8.238,84.34,65.251
