strategy_name,Accuracy mean,AUROC mean,fit runtime mean,predict runtime mean,Accuracy efficency,AUROC efficency
ST_3grams_reso_WL4,77.61,91.164,386.215,1464.657,1.592,3.489
ST_3gram_WL4_A2,79.462,91.284,131.928,477.348,6.423,10.43
