strategy_name,Accuracy mean,ROC AUC mean,fit runtime mean,predict runtime mean,Accuracy efficency,ROC AUC efficency
ST_KWS_RSFS_K10_w20_max_Declined,75.362,87.972,9.326,3.1,44.654,83.11
ST_KWS_RSFS_K10_w20_max,75.635,88.406,9.41,3.231,46.398,88.798
ST_KWS_K5_w20_mean,75.812,88.651,9.698,1.791,46.421,89.894
ST_KWS_K10_w20_mean,76.268,89.009,10.089,3.239,48.295,91.94
ST_KWS_K10_w20_max_Declined,76.335,88.71,9.889,3.129,49.84,89.074
ST_KWS_K5_w20_max,76.645,88.786,9.63,1.792,54.011,92.671
ST_KWS_K10_w20_max,76.864,89.029,9.81,3.235,55.067,94.894
ST_KWS_K10_w30_max,76.926,88.883,14.187,3.189,38.49,63.974
